	extraversion_mean	neuroticism_mean	agreeableness_mean	conscientiousness_mean	openness_mean	extraversion_mean_rank	neuroticism_mean_rank	agreeableness_mean_rank	conscientiousness_mean_rank	openness_mean_rank	extraversion_mean_perc	neuroticism_mean_perc	agreeableness_mean_perc	conscientiousness_mean_perc	openness_mean_perc
23	2.4	2.6	4.6	3.5	4.2	3016	7863	2403	6040	5590	30.15301530153015	78.62786278627863	24.02240224022402	60.396039603960396	55.89558955895589
24	1.1	4.4	3.8	3.3	3.6	6263	3940	8107	4218	2408	62.62626262626263	39.39393939393939	81.06810681068107	42.17421742174217	24.072407240724072
25	2.9	3.6	4.3	2.5	3.1	4142	7602	7599	3233	6400	41.41414141414141	76.017601760176	75.98759875987598	32.323232323232325	63.996399639964
26	4.3	3.0	5.0	4.2	4.2	6297	7841	1004	9589	7363	62.96629662966296	78.4078407840784	10.03100310031003	95.88958895889589	73.62736273627362
27	1.3	2.3	2.5	3.0	4.1	8992	3637	1229	7784	7736	89.91899189918992	36.36363636363637	12.28122812281228	77.83778377837784	77.35773577357736
28	2.3	3.9	4.0	2.6	3.3	1330	5164	6024	940	2620	13.29132913291329	51.63516351635163	60.236023602360234	9.390939093909392	26.192619261926193
29	3.0	4.3	4.3	4.2	4.2	409	6258	9560	2894	3078	4.08040804080408	62.57625762576258	95.59955995599559	28.93289328932893	30.773077307730773
30	3.4	2.0	4.3	4.2	3.7	2845	3696	9811	3591	9815	28.442844284428443	36.95369536953695	98.10981098109811	35.9035903590359	98.14981498149815
31	2.0	3.9	4.2	4.4	3.5	8658	8506	8729	3285	7035	86.57865786578658	85.05850585058505	87.28872887288729	32.843284328432844	70.34703470347034
32	3.3	1.5	4.1	2.6	4.0	4166	1401	8827	2433	3579	41.65416541654166	14.001400140014	88.26882688268827	24.322432243224323	35.78357835783578
33	2.9	4.6	3.5	2.5	3.8	1872	2802	3648	2261	7641	18.71187118711871	28.012801280128013	36.47364736473647	22.6022602260226	76.40764076407642
34	3.0	3.9	3.3	2.5	3.0	1566	2962	9927	8941	7851	15.651565156515652	29.612961296129615	99.26992699269927	89.40894089408941	78.5078507850785
35	2.3	4.1	4.5	4.4	4.0	9301	2710	4071	9519	4964	93.009300930093	27.09270927092709	40.7040704070407	95.1895189518952	49.634963496349634
36	4.5	3.6	4.2	2.5	3.6	9564	450	6726	5031	9564	95.63956395639563	4.490449044904491	67.25672567256726	50.305030503050304	95.63956395639563
37	2.8	2.3	3.0	2.5	4.9	3114	5376	2156	7660	5037	31.133113311331133	53.75537553755375	21.55215521552155	76.5976597659766	50.36503650365036
38	2.3	2.4	3.3	2.9	3.8	9586	501	700	8346	6421	95.85958595859586	5.000500050005	6.99069906990699	83.45834583458345	64.20642064206422
39	4.6	2.5	4.7	2.6	4.5	5942	8518	8177	3874	7496	59.41594159415941	85.17851785178517	81.76817681768178	38.73387338733873	74.95749574957496
40	2.4	3.9	3.6	3.1	2.9	5882	1581	2791	1215	2962	58.81588158815882	15.8015801580158	27.9027902790279	12.141214121412142	29.612961296129615
41	3.0	3.5	4.2	3.8	4.1	6726	2662	8940	303	7099	67.25672567256726	26.612661266126615	89.39893989398941	3.0203020302030206	70.98709870987099
42	4.3	1.5	4.9	3.3	4.3	7454	6197	504	825	2642	74.53745374537453	61.966196619661964	5.030503050305031	8.24082408240824	26.412641264126414
43	3.2	3.5	4.6	2.8	3.1	5730	2515	2611	1888	2992	57.2957295729573	25.14251425142514	26.102610261026104	18.871887188718873	29.912991299129914
44	3.2	1.5	4.8	4.7	4.2	5561	8511	8573	1698	9738	55.60556055605561	85.1085108510851	85.72857285728573	16.971697169716972	97.37973797379738
45	3.5	3.9	4.2	2.9	3.5	7855	5843	1872	351	5819	78.54785478547855	58.425842584258426	18.71187118711871	3.5003500350035	58.185818581858186
46	3.8	3.7	3.3	2.0	4.0	779	7109	4136	9646	486	7.78077807780778	71.08710871087108	41.35413541354136	96.45964596459646	4.850485048504851
47	3.5	3.2	4.8	2.2	3.7	4761	5486	4509	2431	5786	47.6047604760476	54.85548554855486	45.084508450845085	24.302430243024304	57.855785578557864
48	2.5	2.4	4.2	3.9	4.1	7546	5526	9812	2373	4832	75.45754575457546	55.25552555255525	98.11981198119813	23.72237223722372	48.31483148314831
49	2.6	2.7	3.5	3.9	3.6	1723	208	818	6236	9905	17.22172217221722	2.07020702070207	8.17081708170817	62.35623562356236	99.04990499049904
50	4.8	3.6	3.6	2.5	4.3	4751	1479	670	2333	8377	47.5047504750475	14.78147814781478	6.690669066906691	23.32233223322332	83.76837683768376
51	2.1	3.4	2.9	3.5	3.8	5735	7427	9914	4128	326	57.34573457345734	74.26742674267427	99.13991399139914	41.27412741274127	3.2503250325032504
52	2.3	3.7	3.0	3.0	4.3	14	4301	4982	5992	9638	0.13001300130013002	43.004300430043	49.81498149814981	59.91599159915991	96.37963796379638
53	3.1	3.0	4.9	3.5	4.8	9184	5697	4156	4609	6263	91.83918391839184	56.96569656965696	41.55415541554156	46.084608460846084	62.62626262626263
54	2.8	2.6	4.6	3.7	3.7	7737	8882	4213	5030	8149	77.36773677367736	88.81888188818881	42.12421242124213	50.29502950295029	81.48814881488148
55	4.3	2.0	4.4	3.5	4.5	2611	7646	4393	9560	7345	26.102610261026104	76.45764576457645	43.924392439243924	95.59955995599559	73.44734473447345
56	2.3	3.8	3.5	2.5	4.4	7473	3782	3555	422	2729	74.72747274727473	37.81378137813781	35.54355435543554	4.210421042104211	27.282728272827285
57	3.6	2.4	3.2	3.4	3.4	3494	2095	3237	8650	2622	34.93349334933493	20.94209420942094	32.363236323632364	86.4986498649865	26.212621262126213
58	2.9	2.9	4.5	4.2	4.4	7784	1570	8697	6053	5254	77.83778377837784	15.69156915691569	86.96869686968697	60.526052605260524	52.53525352535253
59	2.8	3.2	3.5	3.6	3.2	8040	1127	8992	1230	5524	80.39803980398041	11.261126112611262	89.91899189918992	12.291229122912291	55.23552355235524
60	3.5	4.6	3.9	2.2	2.7	7755	4367	6975	4264	8563	77.54775477547756	43.66436643664366	69.74697469746974	42.634263426342635	85.62856285628563
61	4.4	3.1	2.0	2.7	2.9	4898	5305	9325	8509	445	48.974897489748976	53.04530453045304	93.24932493249325	85.08850885088509	4.44044404440444
